jeK,Quem é o/a atual CEO da jeKnowledge?,Guilherme Coelho,Teresa Salazar,Rafael Jegundo,Maria João Carriço,1,
História,Quantos animais de cada espécie Moisés levou para a arca?,2,0,11,5,2,
Geografia,Quantas ilhas têm os Açores?,10,2,9,1,3,
Desporto,Qual é o atleta mais medalhado de todos os tempos?,Leo Messi,Michael Phelps,Cristiano Ronaldo,Usain Bolt,2,
História,Em que ano foi iniciada a 1º Guerra Mundial?,1914,1919,1915,1913,1,
Matemática,Qual e o único numero primo que é par?,0,4,6,2,4,
Cinema,Qual é o ator que interpreta o papel de "Mr.Bean"?,Rowan Atkinson,Charlie Chaplin,Adam Sandler,Jim Carrey,1,
jeK,Em que ano a jeKnowledge foi fundada?,2007,2006,2008,2010,3,
jeK,Quem é o fundador na jeKnowledge?,Guilherme Coelho,Rafael Jegundo,Steve Jobs,Pedro Oliveira,2,
jeK,Como se denomina o evento de programação organizado pela jeKnowledge?,Pixels Camp,Shift Appens,Web Summit,jeKprogrammer,2,
